d15N	NDFA	Type
7.36182648875031	-47.1609798896174	 Metepec
7.61872742042256	-52.2963621072253	 Metepec
5.06687420966344	-1.28548598787717	 Metepec
3.10899814688049	37.8519427931257	 Metepec
5.33395305644325	-6.62432205797014	 Metepec
5.96521181023158	-19.2430189144289	 Metepec
6.49137477450247	-29.7608785138168	 Metepec
2.44181371407931	51.1887845467522	 Metepec
2.55082118672057	49.0097537703965	 Metepec
2.92848911209448	41.4602710359376	 Metepec
5.3531732036416	-7.00852775741896	 Metepec
5.83762119332501	-16.6925159601167	 Metepec
7.4730920912548	-49.3851500894435	 Metepec
8.00094713380971	-59.9368338897558	 Metepec
2.70799676939437	45.867855112999	Tiltepec
2.43736101769381	51.2777927791853	Tiltepec
3.36486571352006	32.7372172713832	Tiltepec
2.28516399412002	54.3201713464643	Tiltepec
2.49209286223576	50.1837175675148	Tiltepec
0.593892954835337	88.1282356604489	Tiltepec
0.260099152882269	94.8006861795636	Tiltepec
-0.289743645739795	105.791899454438	Tiltepec
0.97175209969129	80.5749304987167	Tiltepec
-0.11237811173286	102.246408967397	Tiltepec
3.02599390573037	39.5111757947878	Tiltepec
1.64313170282612	67.154228390863	Tiltepec
-0.00404438687522551	100.080846232456	Tiltepec
1.2131516845393	75.7494161368303	Tiltepec
3.16170712262849	36.7983041978794	Tiltepec
1.18105790103992	76.3909624481094	Tiltepec
0.559261962290679	88.8205001148217	Tiltepec
2.10549457560858	57.9117158802489	Tiltepec
2.33132311443367	53.3974626427779	Tiltepec
0.27556522699333	94.4915234161235	Tiltepec
0.925407517404428	81.5013465385855	Tiltepec
1.54598002287054	69.0962649821944	Tiltepec
2.4792090319903	50.4412619536193	Tiltepec
0.0763634816977425	98.4735140373662	Tiltepec
0.582551020724785	88.3549579473845	Temaxcalapa
3.76074166284027	24.8237609157194	Temaxcalapa
2.09402111490201	58.1410673493285	Temaxcalapa
2.40686391269886	51.8874219061024	Temaxcalapa
2.9809619957115	40.4113518604429	Temaxcalapa
0.319061474329651	93.6220448445603	Temaxcalapa
1.47575686521295	70.5000074783842	Temaxcalapa
