GBS.name..Sample.Flowcell.Lane.Well.,Additional.file.1.xlsx..Romay.et.al..2013.,Inbred.name,Source,Accession,Seed.lot,Notes
Ames19284:81N4HABXX:1:G6,C103,C103,NCRPIS,AMES 19284,07ncai01 SD,
Ames19285:81N4HABXX:1:C8,C103T,C103 T,NCRPIS,AMES 19285,91ncao01 SD,
Ames19286:81FENABXX:2:B1,Mo17T,Mo17T,NCRPIS,AMES 19286,94ncai03 SD,
Ames19287:81FE7ABXX:5:E3,Mo17TRf,Mo17TRf,NCRPIS,AMES 19287,94ncai01 SD,
Ames19288:81FE8ABXX:5:B2,Oh43,Oh43,NCRPIS,AMES 19288,01ncab01 SD,
Ames19288:D0D0BACXX:3:D9,Oh43,Oh43,NCRPIS,AMES 19288,11878,
Ames19288:D0D0BACXX:3:G2,Oh43,Oh43,NCRPIS,AMES 19288,11722,
Ames19289:81N4HABXX:6:F3,Oh43T,Oh43 T,NCRPIS,AMES 19289,91ncao01 SD,
Ames19290:81N4HABXX:6:G1,Oh43TRf,Oh43 TRf,NCRPIS,AMES 19290,91ncao01 SD,
Ames19292:81FE8ABXX:5:A3,W64AT,W64A T,NCRPIS,AMES 19292,91ncao01 SD,
Ames19293:81FE7ABXX:5:A9,Wf9,Wf9,NCRPIS,AMES 19293,07ncai01 SD,
Ames19294:81N4HABXX:7:H2,Wf9T,Wf9 T,NCRPIS,AMES 19294,91ncao01 SD,
Ames19308:81N4HABXX:4:G3,A634,A634,NCRPIS,AMES 19308,01ncab01 SD,
Ames19309:81FE7ABXX:4:D3,A635,A635,NCRPIS,AMES 19309,01ncab01 SD,
Ames19309:81FE7ABXX:4:E6,A635,A635,NCRPIS,AMES 19309,01ncai04 SD,
Ames19310:81FE8ABXX:6:B1,A639,A639,NCRPIS,AMES 19310,92ncai01 SD,
Ames19311:81FE8ABXX:6:B3,A641,A641,NCRPIS,AMES 19311,98ncab01 SD,
Ames19311:81FENABXX:3:D5,A641,A641,NCRPIS,AMES 19311,04ncai01 SD,
Ames19311:C07W2ACXX:1:G10,A641,A641,NCRPIS,AMES 19311,98ncab01 SD,
Ames19311:C07W2ACXX:2:G10,A641,A641,NCRPIS,AMES 19311,98ncab01 SD,
Ames19311:D0D0BACXX:1:G10,A641,A641,NCRPIS,AMES 19311,98ncab01 SD,
Ames19311:D0D7RACXX:1:G10,A641,A641,NCRPIS,AMES 19311,98ncab01 SD,
Ames19311:D0D7RACXX:2:G10,A641,A641,NCRPIS,AMES 19311,98ncab01 SD,
Ames19313:81N4HABXX:6:E10,C123,C123,NCRPIS,AMES 19313,04ncai01 SD,
Ames19313:81N4HABXX:7:D7,C123,C123,NCRPIS,AMES 19313,04ncai02 SD,
Ames19314:81FENABXX:4:G4,CI64,CI64,NCRPIS,AMES 19314,01ncab01 SD,
Ames19318:81FE7ABXX:4:G1,H107,H107,NCRPIS,AMES 19318,01ncab01 SD,
Ames19319:81FE7ABXX:6:F3,H95,H95,NCRPIS,AMES 19319,04ncai02 SD,
Ames19319:81N4HABXX:7:G6,H95,H95,NCRPIS,AMES 19319,04ncai01 SD,
Ames19321:81FE7ABXX:4:G9,N28,N28,NCRPIS,AMES 19321,99ncab01 SD,
Ames19323:81N4HABXX:1:C7,Oh7B,Oh7B,NCRPIS,AMES 19323,94ncai01 SD,
Ames19324:81FE7ABXX:2:H6,Pa871,Pa871,NCRPIS,AMES 19324,92ncai01 SD,
Ames19326:81N4HABXX:5:B12,R168,R168,NCRPIS,AMES 19326,04ncai02 SD,
Ames19326:81N4HABXX:6:H3,R168,R168,NCRPIS,AMES 19326,04ncai01 SD,
Ames19327:81N4HABXX:3:A4,Tx303,Tx303,NCRPIS,AMES 19327,97ncab01 SD,
Ames19327:D0D0BACXX:3:E10,Tx303,Tx303,NCRPIS,AMES 19327,10743,
Ames19327:D0D0BACXX:4:B9,Tx303,Tx303,NCRPIS,AMES 19327,12539,
Ames19328:81FE7ABXX:5:E9,Va22,Va22,NCRPIS,AMES 19328,06ncab01 SD,
Ames19328:81FENABXX:1:D2,Va22,Va22,NCRPIS,AMES 19328,06ncai01 SD,
Ames19330:81FENABXX:2:G8,W182B,W182B,NCRPIS,AMES 19330,00ncab01 SD,
Ames20116:81FE8ABXX:3:G7,Mo23W,Mo23W,NCRPIS,AMES 20116,02ncai01 SD,
Ames20118:81N4HABXX:3:A5,Mo25W,Mo25W,NCRPIS,AMES 20118,01ncai01 SD,
Ames20119:81FENABXX:4:C11,Mo40,Mo40,NCRPIS,AMES 20119,01ncai01 SD,
Ames20120:81FE7ABXX:2:D6,Mo42,Mo42,NCRPIS,AMES 20120,03ncai01 SD,
Ames20136:81FE7ABXX:1:B2,H21W,H21W,NCRPIS,AMES 20136,08ncai01 SD,
Ames20137:81FE7ABXX:1:B12,H25W,H25W,NCRPIS,AMES 20137,06ncai01 SD,
Ames20137:D0D0BACXX:3:G11,H25W,H25W,NCRPIS,AMES 20137,12013,
Ames20140:81FE8ABXX:4:H7,Mt42,Mt42,NCRPIS,AMES 20140,98ncai02 SD,
Ames20140:81FENABXX:6:E12,Mt42,Mt42,NCRPIS,AMES 20140,98ncai03 SD,
Ames20140:D0D0BACXX:3:A1,Mt42,Mt42,NCRPIS,AMES 20140,10002,
Ames21095:81FE7ABXX:5:D4,R12,R12,NCRPIS,AMES 21095,08ncai01 SD,
Ames21096:81FE8ABXX:6:B9,R35,R35,NCRPIS,AMES 21096,01ncai01 SD,
Ames21512:81FENABXX:5:F7,CI31A,CI31A,NCRPIS,AMES 21512,03ncai01 SD,
Ames22011:81FENABXX:5:D3,C5Ark1956,C5 Ark 1956,NCRPIS,AMES 22011,95ncai01 SD,
Ames22012:81FE7ABXX:1:H12,C7,C7,NCRPIS,AMES 22012,95ncai01 SD,
Ames22013:81FENABXX:5:C12,C7e,C7e,NCRPIS,AMES 22013,95ncai01 SD,
Ames22014:81FE7ABXX:1:F9,C8pseudo,C8 pseudo,NCRPIS,AMES 22014,95ncai01 SD,
Ames22015:81FE7ABXX:4:B8,C12-1,C12-1,NCRPIS,AMES 22015,95ncai01 SD,
Ames22015:D0D0BACXX:3:F1,C12-1,C12-1,NCRPIS,AMES 22015,10040,
Ames22016:81FE8ABXX:1:G1,C15,C15,NCRPIS,AMES 22016,95ncai01 SD,
Ames22017:81FE8ABXX:1:C10,C18,C18,NCRPIS,AMES 22017,95ncai01 SD,
Ames22018:81N4HABXX:6:F8,C22,C22,NCRPIS,AMES 22018,95ncai01 SD,
Ames22019:81N4HABXX:5:H11,C27,C27,NCRPIS,AMES 22019,95ncai01 SD,
Ames22020:81N4HABXX:6:G3,C31,C31,NCRPIS,AMES 22020,95ncai01 SD,
Ames22021:81N4HABXX:5:G10,C38,C38,NCRPIS,AMES 22021,95ncai01 SD,
Ames22022:81FE8ABXX:1:H8,C40,C40,NCRPIS,AMES 22022,95ncai01 SD,
Ames22023:81FE8ABXX:1:G4,C68,C68,NCRPIS,AMES 22023,95ncai01 SD,
Ames22024:81N4HABXX:5:F10,C90,C90,NCRPIS,AMES 22024,95ncai01 SD,
Ames22025:81FENABXX:1:C8,IaCG4189,Ia CG4189,NCRPIS,AMES 22025,95ncai01 SD,
Ames22026:81FE7ABXX:2:G5,IaEv191,Ia Ev191,NCRPIS,AMES 22026,95ncai01 SD,
Ames22027:81FE7ABXX:1:B7,IaEv3004,Ia Ev3004,NCRPIS,AMES 22027,04ncai01 SD,
Ames22028:81FE7ABXX:4:C9,Ia2003,Ia 2003,NCRPIS,AMES 22028,95ncai01 SD,
Ames22029:81FE7ABXX:5:B8,Ia2076,Ia 2076,NCRPIS,AMES 22029,95ncai01 SD,
Ames22030:81N4HABXX:6:H11,Ia453,Ia453,NCRPIS,AMES 22030,95ncai01 SD,
Ames22031:81N4HABXX:7:D10,Ia5145,Ia 5145,NCRPIS,AMES 22031,95ncai01 SD,
